Date,Open,High,Low,Close,Adj Close,Volume
2008-01-25,94.190002,96.000000,94.129997,95.949997,61.427063,4371100
2008-01-28,95.680000,96.000000,95.360001,95.589996,61.196564,1633500
2008-01-29,95.279999,95.320000,94.580002,94.940002,60.780415,3100200
2008-01-30,94.690002,94.769997,93.589996,94.320000,60.383549,3468000
2008-01-31,95.300003,95.430000,94.629997,94.989998,60.812485,11441000
2008-02-01,95.000000,95.400002,94.559998,95.230003,61.178028,4163700
2008-02-04,94.389999,94.660004,94.129997,94.250000,60.548416,1729600
2008-02-05,95.410004,95.610001,94.769997,94.970001,61.010956,2594600
2008-02-06,94.629997,94.849998,94.360001,94.680000,60.824631,1339800
2008-02-07,94.529999,94.529999,92.050003,92.639999,59.514080,5419700
2008-02-08,93.250000,93.730003,93.089996,93.699997,60.195038,2832800
2008-02-11,94.279999,94.699997,93.730003,94.089996,60.445652,2960200
2008-02-12,93.320000,93.650002,92.959999,93.529999,60.085857,2897700
2008-02-13,92.930000,93.419998,92.400002,92.540001,59.449886,3697500
2008-02-14,91.800003,92.099998,90.660004,91.180000,58.576160,7505000
2008-02-15,91.610001,92.070000,91.459999,91.879997,59.025837,3687800
2008-02-19,91.139999,91.699997,90.639999,90.949997,58.428452,2911600
2008-02-20,90.620003,91.580002,90.559998,91.580002,58.833153,2550100
2008-02-21,92.080002,92.849998,92.050003,92.550003,59.456314,4197200
2008-02-22,92.489998,92.849998,91.870003,92.019997,59.115814,1959700
2008-02-25,91.949997,92.139999,90.650002,91.080002,58.511913,3460900
2008-02-26,90.959999,91.339996,90.730003,91.110001,58.531197,2618900
2008-02-27,91.430000,91.570000,90.610001,91.190002,58.582581,2494400
2008-02-28,92.339996,92.839996,92.190002,92.809998,59.623280,3410900
2008-02-29,93.650002,94.459999,93.519997,94.230003,60.535568,3822000
2008-03-03,93.669998,94.199997,93.250000,93.639999,60.379520,2036900
2008-03-04,93.940002,94.120003,92.529999,92.730003,59.792725,3401100
2008-03-05,93.059998,93.059998,91.500000,91.620003,59.076984,3871200
2008-03-06,91.820000,92.440002,91.669998,92.110001,59.392967,1342600
2008-03-07,93.290001,93.349998,91.739998,92.230003,59.470325,3601300
2008-03-10,92.709999,94.129997,92.610001,93.589996,60.347309,3579000
2008-03-11,93.000000,93.029999,92.209999,92.790001,59.831455,3309200
2008-03-12,93.129997,94.680000,92.970001,94.580002,60.985638,4752900
2008-03-13,95.029999,95.190002,93.260002,93.839996,60.508472,5763500
2008-03-14,94.620003,95.809998,94.620003,95.000000,61.256435,6174800
2008-03-17,95.589996,96.309998,95.309998,95.730003,61.727184,3329300
2008-03-18,95.300003,96.160004,94.949997,95.360001,61.488583,4022300
2008-03-19,95.120003,97.470001,95.120003,96.940002,62.507389,5206400
2008-03-20,97.000000,97.750000,96.870003,97.180000,62.662148,3905900
2008-03-24,96.480003,96.480003,95.199997,95.300003,61.449909,5596200
2008-03-25,95.379997,95.820000,95.279999,95.699997,61.707829,2038200
2008-03-26,95.779999,96.199997,95.230003,95.300003,61.449909,1652000
2008-03-27,94.639999,95.360001,94.540001,94.629997,61.017891,2405700
2008-03-28,95.089996,95.559998,94.750000,95.550003,61.611103,1745500
2008-03-31,96.110001,96.320000,95.669998,95.889999,61.830322,2546300
2008-04-01,94.809998,94.849998,93.779999,93.930000,60.824070,3821800
2008-04-02,93.989998,94.860001,93.989998,94.129997,60.953552,3794200
2008-04-03,94.500000,94.669998,94.120003,94.339996,61.089512,2839100
2008-04-04,95.169998,95.559998,94.989998,95.199997,61.646431,1745200
2008-04-07,94.620003,94.779999,93.900002,94.699997,61.322636,2231800
2008-04-08,95.180000,95.239998,94.260002,94.370003,61.108936,1305200
2008-04-09,94.559998,95.639999,94.550003,95.349998,61.743538,2883600
2008-04-10,95.309998,95.500000,94.570000,95.029999,61.536362,1846500
2008-04-11,95.599998,95.919998,95.470001,95.669998,61.950764,1987700
2008-04-14,95.339996,95.699997,94.989998,95.110001,61.588139,3195300
2008-04-15,94.419998,94.580002,93.900002,93.930000,60.824070,2821600
2008-04-16,93.800003,94.059998,92.430000,93.010002,60.228321,4691100
2008-04-17,92.980003,93.180000,92.239998,92.849998,60.124676,2020000
2008-04-18,92.000000,92.879997,91.820000,92.769997,60.072948,2199700
2008-04-21,92.410004,93.279999,92.300003,93.139999,60.312523,2805800
2008-04-22,92.910004,93.669998,92.910004,93.459999,60.519695,1799700
2008-04-23,93.089996,93.629997,92.529999,93.150002,60.318970,1221100
2008-04-24,92.260002,92.459999,91.809998,92.360001,59.807442,3213600
2008-04-25,92.139999,92.250000,91.500000,91.820000,59.457767,1742000
2008-04-28,91.529999,92.349998,91.410004,92.099998,59.639057,1883900
2008-04-29,92.379997,92.860001,92.150002,92.449997,59.865654,1269100
2008-04-30,92.419998,93.199997,91.849998,93.110001,60.293034,2827500
2008-05-01,93.440002,93.650002,92.379997,92.779999,60.296940,3226500
2008-05-02,91.779999,92.410004,91.540001,91.610001,59.536594,2730800
2008-05-05,91.860001,91.870003,91.139999,91.610001,59.536594,1309300
2008-05-06,92.010002,92.080002,90.790001,90.949997,59.107677,4037500
2008-05-07,90.730003,91.430000,90.620003,91.339996,59.361076,3876200
2008-05-08,91.440002,92.199997,91.419998,92.160004,59.893997,2829500
2008-05-09,92.730003,92.870003,92.209999,92.500000,60.114960,2064300
2008-05-12,92.760002,93.160004,92.349998,92.360001,60.024025,1947400
2008-05-13,91.830002,92.050003,91.309998,91.349998,59.367603,2123300
2008-05-14,92.000000,92.010002,90.720001,91.389999,59.393604,2600900
2008-05-15,91.169998,92.330002,91.089996,92.220001,59.932976,2164300
2008-05-16,91.879997,92.889999,91.779999,91.839996,59.686043,1902600
2008-05-19,92.260002,92.260002,91.300003,91.959999,59.764069,1348200
2008-05-20,92.440002,92.500000,91.900002,92.440002,60.075974,1466000
2008-05-21,92.050003,92.669998,91.860001,92.459999,60.089043,1762100
2008-05-22,91.930000,91.930000,90.839996,91.370003,59.380650,2855900
2008-05-23,91.830002,92.300003,91.699997,91.769997,59.640564,1802000
2008-05-27,91.379997,91.559998,90.980003,91.150002,59.237625,1985800
2008-05-28,90.540001,90.660004,90.139999,90.339996,58.711178,3250700
2008-05-29,90.010002,90.099998,89.139999,89.690002,58.288780,3302400
2008-05-30,90.129997,90.440002,90.059998,90.279999,58.672203,2514600
2008-06-02,89.980003,90.639999,89.620003,90.300003,58.898560,3076400
2008-06-03,90.059998,91.410004,89.809998,90.949997,59.322552,2447700
2008-06-04,91.389999,91.389999,89.900002,90.139999,58.794193,2813000
2008-06-05,89.820000,90.029999,89.449997,89.599998,58.442009,2632200
2008-06-06,90.440002,91.089996,90.209999,90.760002,59.198593,3864800
2008-06-09,90.480003,91.389999,90.190002,90.760002,59.198593,1812000
2008-06-10,90.650002,90.709999,89.699997,90.169998,58.813766,1935300
2008-06-11,90.050003,90.720001,89.709999,89.959999,58.676804,2265400
2008-06-12,89.559998,89.639999,88.820000,89.059998,58.089737,4413100
2008-06-13,88.970001,89.540001,88.680000,88.870003,57.965813,1983600
2008-06-16,89.110001,89.180000,88.620003,88.889999,57.978909,1756800
2008-06-17,89.150002,89.269997,88.589996,89.070000,58.096256,1712200
2008-06-18,89.290001,89.970001,89.089996,89.820000,58.585484,2590000
2008-06-19,89.519997,89.750000,89.029999,89.290001,58.239769,1700500
2008-06-20,89.940002,90.070000,89.690002,89.809998,58.579002,4580900
2008-06-23,90.080002,90.430000,89.830002,90.000000,58.702873,1594100
2008-06-24,90.379997,90.809998,90.139999,90.599998,59.094231,3118400
2008-06-25,90.650002,90.760002,89.809998,90.639999,59.120312,3251600
2008-06-26,91.000000,91.440002,90.790001,91.250000,59.518192,4052300
2008-06-27,91.730003,92.440002,91.449997,92.320000,60.216129,4144800
2008-06-30,92.410004,92.820000,92.080002,92.339996,60.229172,3743000
2008-07-01,92.690002,92.769997,91.680000,91.790001,60.086487,3805100
2008-07-02,91.959999,92.379997,91.870003,92.269997,60.400669,2413700
2008-07-03,91.709999,92.300003,91.540001,92.070000,60.269714,1405100
2008-07-07,92.070000,93.150002,91.580002,92.489998,60.544689,3528400
2008-07-08,92.500000,93.139999,92.419998,93.089996,60.937466,2176600
2008-07-09,92.940002,93.639999,92.919998,93.500000,61.205868,1582000
2008-07-10,93.330002,93.760002,92.940002,93.489998,61.199299,2723600
2008-07-11,93.519997,93.739998,91.860001,92.160004,60.328682,5466000
2008-07-14,92.379997,93.260002,92.290001,92.970001,60.858875,4135400
2008-07-15,93.070000,93.430000,92.699997,92.940002,60.839283,4541400
2008-07-16,92.080002,92.239998,91.209999,91.260002,59.739521,3435900
2008-07-17,91.260002,91.610001,90.559998,90.790001,59.431866,5899900
2008-07-18,90.760002,91.199997,90.300003,90.449997,59.209312,3475200
2008-07-21,90.449997,90.900002,90.250000,90.800003,59.438343,3657200
2008-07-22,90.639999,90.760002,90.029999,90.349998,59.143787,2675200
2008-07-23,90.220001,90.370003,89.750000,90.169998,59.025978,2871900
2008-07-24,90.349998,91.250000,90.349998,91.050003,59.602077,2613300
2008-07-25,90.550003,90.839996,90.000000,90.139999,59.006351,3765300
2008-07-28,90.949997,91.470001,90.699997,91.050003,59.602077,1275900
2008-07-29,90.660004,90.989998,90.309998,90.680000,59.359837,1349100
2008-07-30,90.089996,91.290001,90.029999,90.769997,59.418758,1667500
